rating,price,phone,id,review_count,name,url,latitude,longitude,address1,address2,address3,city,state,zip_code,country
4.0,$$,(617) 523-9026,2u_w3rthRzR2uEihW5BC4A,3719,Giacomo's Ristorante - Boston,https://www.yelp.com/biz/giacomos-ristorante-boston-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.36458,-71.05344,355 Hanover St,,,Boston,MA,02113,US
4.0,$$$,(617) 267-4000,AGR_kBvN__I7aTl0rBywAg,2769,Atlantic Fish,https://www.yelp.com/biz/atlantic-fish-boston-8?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3492217873536,-71.0811272917217,761 Boylston St,,,Boston,MA,02116,US
4.0,$$$,(617) 536-4300,NYa-JphaaB41ElGsb3iawA,2294,Toro,https://www.yelp.com/biz/toro-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.33698788,-71.07592429,1704 Washington St,,,Boston,MA,02118,US
4.0,$$,(617) 456-7849,xlOMKjE4omTgkI1eduWj8A,2127,The Friendly Toast,https://www.yelp.com/biz/the-friendly-toast-back-bay?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3483479318913,-71.0732730478048,35 Stanhope St,,,Back Bay,MA,02116,US
4.5,$$$,(617) 267-0691,sA2gVTJOBH7Qk32p48ENdQ,1441,Saltie Girl,https://www.yelp.com/biz/saltie-girl-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.35116,-71.07758,279 Dartmouth St,,,Boston,MA,02116,US
4.0,$$$,(617) 553-5900,yBIN7uSzd5saehWA1I_GBw,1568,Row 34,https://www.yelp.com/biz/row-34-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3495808510305,-71.0475044128162,383 Congress St,,,Boston,MA,02210,US
4.5,$$,(617) 266-2600,mP1EdIafQKMuOm9O4PzAfA,1212,Barcelona Wine Bar South End,https://www.yelp.com/biz/barcelona-wine-bar-south-end-boston-6?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3449355147724,-71.0705436362457,525 Tremont St,,,Boston,MA,02116,US
4.0,$$,(617) 369-5609,u51e3gychuqBYNqe2xG6_w,2198,Lolita Cocina & Tequila Bar Back Bay,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-back-bay-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3506451775156,-71.07745572883555,271 Dartmouth St,,,Boston,MA,02116,US
4.0,$$,(617) 948-9800,xZ22_0eJOgaiKqIhoSHrPw,1610,Bostonia Public House,https://www.yelp.com/biz/bostonia-public-house-boston-4?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.359213,-71.054296,131 State St,,,Boston,MA,02109,US
4.0,$$,(617) 927-0066,1qwxzGRcU1y3tJrsoYQ4Rw,1237,Picco Pizza & Ice Cream,https://www.yelp.com/biz/picco-pizza-and-ice-cream-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3448751089207,-71.0705310984679,513 Tremont St,,,Boston,MA,02116,US
4.5,$$$$,(617) 262-8900,XUepp8T9xSMBuvlEG_-DrQ,992,The Capital Grille,https://www.yelp.com/biz/the-capital-grille-boston-3?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3478110031284,-71.0851110928626,900 Boylston St,,,Boston,MA,02115,US
