Unnamed: 0,rating,price,phone,id,review_count,name,url,latitude,longitude,address1,address2,address3,city,state,zip_code,country,Unnamed: 0_y,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_end,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
0,4.0,$$,(617) 523-9026,2u_w3rthRzR2uEihW5BC4A,3719,Giacomo's Ristorante - Boston,https://www.yelp.com/biz/giacomos-ristorante-boston-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.36458,-71.05344,355 Hanover St,,,Boston,MA,2113,US,0,REGULAR,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2200.0,False,1200.0,2230.0,False,1200.0,2230.0,False,1200.0,2200.0,False
1,4.0,$$$,(617) 267-4000,AGR_kBvN__I7aTl0rBywAg,2769,Atlantic Fish,https://www.yelp.com/biz/atlantic-fish-boston-8?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3492217873536,-71.0811272917217,761 Boylston St,,,Boston,MA,2116,US,1,REGULAR,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2300.0,False,1100.0,2300.0,False,1100.0,2200.0,False
2,4.0,$$$,(617) 536-4300,NYa-JphaaB41ElGsb3iawA,2294,Toro,https://www.yelp.com/biz/toro-boston-2?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.33698788,-71.07592429,1704 Washington St,,,Boston,MA,2118,US,2,REGULAR,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2100.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1700.0,2100.0,False
3,4.5,$$$,(617) 267-0691,sA2gVTJOBH7Qk32p48ENdQ,1441,Saltie Girl,https://www.yelp.com/biz/saltie-girl-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.35116,-71.07758,279 Dartmouth St,,,Boston,MA,2116,US,4,REGULAR,1100.0,2200.0,False,1100.0,2200.0,False,1100.0,2200.0,False,1100.0,2200.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2100.0,False
4,4.0,$$$,(617) 553-5900,yBIN7uSzd5saehWA1I_GBw,1568,Row 34,https://www.yelp.com/biz/row-34-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3495808510305,-71.0475044128162,383 Congress St,,,Boston,MA,2210,US,5,REGULAR,1700.0,2100.0,False,1700.0,2200.0,False,1700.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2200.0,False,1130.0,2100.0,False
5,4.5,$$,(617) 266-2600,mP1EdIafQKMuOm9O4PzAfA,1212,Barcelona Wine Bar South End,https://www.yelp.com/biz/barcelona-wine-bar-south-end-boston-6?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3449355147724,-71.0705436362457,525 Tremont St,,,Boston,MA,2116,US,6,REGULAR,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1400.0,2359.0,False,1030.0,2359.0,False,1030.0,2300.0,False
6,4.0,$$,(617) 369-5609,u51e3gychuqBYNqe2xG6_w,2198,Lolita Cocina & Tequila Bar Back Bay,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-back-bay-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3506451775156,-71.07745572883555,271 Dartmouth St,,,Boston,MA,2116,US,7,REGULAR,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True
7,4.0,$$,(617) 948-9800,xZ22_0eJOgaiKqIhoSHrPw,1610,Bostonia Public House,https://www.yelp.com/biz/bostonia-public-house-boston-4?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.359213,-71.054296,131 State St,,,Boston,MA,2109,US,8,REGULAR,1130.0,2359.0,False,1130.0,2359.0,False,1130.0,100.0,True,1130.0,200.0,True,1130.0,200.0,True,930.0,200.0,True,930.0,2359.0,False
8,4.0,$$,(617) 927-0066,1qwxzGRcU1y3tJrsoYQ4Rw,1237,Picco Pizza & Ice Cream,https://www.yelp.com/biz/picco-pizza-and-ice-cream-boston?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3448751089207,-71.0705310984679,513 Tremont St,,,Boston,MA,2116,US,9,REGULAR,1100.0,2100.0,False,1100.0,2100.0,False,1100.0,2100.0,False,1100.0,2100.0,False,1100.0,2100.0,False,1600.0,2100.0,False,1600.0,2100.0,False
9,4.5,$$$$,(617) 262-8900,XUepp8T9xSMBuvlEG_-DrQ,992,The Capital Grille,https://www.yelp.com/biz/the-capital-grille-boston-3?adjust_creative=EkXlOYfDUuZJiPNkRtsurw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=EkXlOYfDUuZJiPNkRtsurw,42.3478110031284,-71.0851110928626,900 Boylston St,,,Boston,MA,2115,US,10,REGULAR,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2100.0,False,1130.0,2200.0,False,1700.0,2200.0,False,1600.0,2100.0,False
